Entity,Code,Year,Low-carbon energy (TWh growth - equivalent)
Africa,,1966,4.7441063
Africa,,1967,2.012619
Africa,,1968,8.124931
Africa,,1969,9.35162
Africa,,1970,16.350792
Africa,,1971,-4.258049
Africa,,1972,10.706924
Africa,,1973,5.079834
Africa,,1974,12.794197
Africa,,1975,6.054901
Africa,,1976,12.105011
Africa,,1977,12.228485
Africa,,1978,1.1374054
Africa,,1979,9.6539
Africa,,1980,-3.687271
Africa,,1981,5.5975647
Africa,,1982,0.09687805
Africa,,1983,-14.68309
Africa,,1984,8.911026
Africa,,1985,18.72168
Africa,,1986,16.025818
Africa,,1987,-13.656601
Africa,,1988,25.601593
Africa,,1989,9.623657
Africa,,1990,-4.0558014
Africa,,1991,12.077805
Africa,,1992,-7.7394867
Africa,,1993,-8.940765
Africa,,1994,9.316666
Africa,,1995,11.519714
Africa,,1996,9.6436615
Africa,,1997,7.4365387
Africa,,1998,12.0173645
Africa,,1999,9.735306
Africa,,2000,16.322525
Africa,,2001,9.244141
Africa,,2002,13.920807
Africa,,2003,-5.877594
Africa,,2004,15.288422
Africa,,2005,-2.777008
Africa,,2006,6.4907837
Africa,,2007,9.084564
Africa,,2008,8.890137
Africa,,2009,6.4165955
Africa,,2010,25.366272
Africa,,2011,6.3094482
Africa,,2012,1.3164978
Africa,,2013,21.844513
Africa,,2014,23.975922
Africa,,2015,2.22229
Africa,,2016,8.772003
Africa,,2017,30.046814
Africa,,2018,26.155212
Africa,,2019,35.966034
Africa,,2020,30.29898
Africa,,2021,16.869934
Africa (BP),,1966,4.7440987
Africa (BP),,1967,2.0126266
Africa (BP),,1968,8.1249275
Africa (BP),,1969,9.351624
Africa (BP),,1970,16.350792
Africa (BP),,1971,-4.258049
Africa (BP),,1972,10.706924
Africa (BP),,1973,5.0798416
Africa (BP),,1974,12.794189
Africa (BP),,1975,6.054901
Africa (BP),,1976,12.105011
Africa (BP),,1977,12.228485
Africa (BP),,1978,1.1374054
Africa (BP),,1979,9.6539
Africa (BP),,1980,-3.687271
Africa (BP),,1981,5.5975647
Africa (BP),,1982,0.09687805
Africa (BP),,1983,-14.68309
Africa (BP),,1984,8.911026
Africa (BP),,1985,18.72168
Africa (BP),,1986,16.025818
Africa (BP),,1987,-13.656601
Africa (BP),,1988,25.601578
Africa (BP),,1989,9.6236725
Africa (BP),,1990,-4.0558014
Africa (BP),,1991,12.07782
Africa (BP),,1992,-7.739502
Africa (BP),,1993,-8.940765
Africa (BP),,1994,9.316666
Africa (BP),,1995,11.51973
Africa (BP),,1996,9.643646
Africa (BP),,1997,7.436554
Africa (BP),,1998,12.017349
Africa (BP),,1999,9.735306
Africa (BP),,2000,16.322525
Africa (BP),,2001,9.24411
Africa (BP),,2002,14.411713
Africa (BP),,2003,-5.8270874
Africa (BP),,2004,15.383789
Africa (BP),,2005,-3.170868
Africa (BP),,2006,6.320221
Africa (BP),,2007,9.803436
Africa (BP),,2008,8.709015
Africa (BP),,2009,6.14682
Africa (BP),,2010,25.236755
Africa (BP),,2011,6.6033325
Africa (BP),,2012,1.4185486
Africa (BP),,2013,21.826416
Africa (BP),,2014,23.95578
Africa (BP),,2015,2.3682861
Africa (BP),,2016,8.696381
Africa (BP),,2017,30.03659
Africa (BP),,2018,26.504822
Africa (BP),,2019,35.831543
Africa (BP),,2020,30.492706
Africa (BP),,2021,16.893433
Algeria,DZA,1966,-0.13306463
Algeria,DZA,1967,0.16263437
Algeria,DZA,1968,0.45241952
Algeria,DZA,1969,-0.597312
Algeria,DZA,1970,0.64758086
Algeria,DZA,1971,-0.73924756
Algeria,DZA,1972,0.48790336
Algeria,DZA,1973,0.759946
Algeria,DZA,1974,-0.75403214
Algeria,DZA,1975,-0.49973106
Algeria,DZA,1976,0.18037629
Algeria,DZA,1977,-0.3548388
Algeria,DZA,1978,-0.056182742
Algeria,DZA,1979,0.12123662
Algeria,DZA,1980,-0.10053784
Algeria,DZA,1981,0.32231206
Algeria,DZA,1982,0.3341397
Algeria,DZA,1983,-0.72150534
Algeria,DZA,1984,0.6416666
Algeria,DZA,1985,0.57365596
Algeria,DZA,1986,-1.1709678
Algeria,DZA,1987,0.7362903
