Entity,Code,Year,Oil (TWh growth)
Africa,,1966,28.223785
Africa,,1967,-1.3613281
Africa,,1968,21.074585
Africa,,1969,7.7230225
Africa,,1970,36.849457
Africa,,1971,39.79312
Africa,,1972,37.107178
Africa,,1973,39.04712
Africa,,1974,18.079956
Africa,,1975,28.60498
Africa,,1976,56.17578
Africa,,1977,42.585876
Africa,,1978,37.01471
Africa,,1979,38.75763
Africa,,1980,46.30017
Africa,,1981,66.62305
Africa,,1982,41.365356
Africa,,1983,39.32495
Africa,,1984,17.19983
Africa,,1985,25.339844
Africa,,1986,-18.498718
Africa,,1987,53.475464
Africa,,1988,44.199585
Africa,,1989,37.658325
Africa,,1990,18.476318
Africa,,1991,6.302368
Africa,,1992,21.819336
Africa,,1993,9.552124
Africa,,1994,41.807983
Africa,,1995,44.897095
Africa,,1996,27.189453
Africa,,1997,38.30188
Africa,,1998,31.235474
Africa,,1999,51.051514
Africa,,2000,5.826416
Africa,,2001,12.27771
Africa,,2002,46.50244
Africa,,2003,45.648315
Africa,,2004,61.6958
Africa,,2005,68.40845
Africa,,2006,18.797607
Africa,,2007,61.023926
Africa,,2008,90.11011
Africa,,2009,61.12549
Africa,,2010,80.2384
Africa,,2011,-32.043945
Africa,,2012,112.65906
Africa,,2013,74.61157
Africa,,2014,21.89209
Africa,,2015,55.811523
Africa,,2016,11.780762
Africa,,2017,22.164062
Africa,,2018,24.41211
Africa,,2019,4.5339355
Africa,,2020,-250.98328
Africa,,2021,172.48938
Africa (BP),,1966,28.223816
Africa (BP),,1967,-1.3613281
Africa (BP),,1968,21.074585
Africa (BP),,1969,7.7230225
Africa (BP),,1970,36.849457
Africa (BP),,1971,39.79312
Africa (BP),,1972,37.107178
Africa (BP),,1973,39.04718
Africa (BP),,1974,18.079895
Africa (BP),,1975,28.60498
Africa (BP),,1976,56.17578
Africa (BP),,1977,42.585876
Africa (BP),,1978,37.01471
Africa (BP),,1979,38.75763
Africa (BP),,1980,46.300232
Africa (BP),,1981,66.622986
Africa (BP),,1982,41.365295
Africa (BP),,1983,39.325012
Africa (BP),,1984,17.19983
Africa (BP),,1985,25.339844
Africa (BP),,1986,-18.498718
Africa (BP),,1987,53.475464
Africa (BP),,1988,44.199585
Africa (BP),,1989,37.658325
Africa (BP),,1990,18.476318
Africa (BP),,1991,6.302368
Africa (BP),,1992,21.819336
Africa (BP),,1993,9.552124
Africa (BP),,1994,41.807983
Africa (BP),,1995,44.897095
Africa (BP),,1996,27.189453
Africa (BP),,1997,38.30188
Africa (BP),,1998,31.235474
Africa (BP),,1999,51.051636
Africa (BP),,2000,5.826294
Africa (BP),,2001,12.27771
Africa (BP),,2002,46.50244
Africa (BP),,2003,45.64856
Africa (BP),,2004,61.695557
Africa (BP),,2005,68.40845
Africa (BP),,2006,18.797607
Africa (BP),,2007,61.024048
Africa (BP),,2008,90.109985
Africa (BP),,2009,61.12549
Africa (BP),,2010,80.23816
Africa (BP),,2011,-32.0437
Africa (BP),,2012,112.65906
Africa (BP),,2013,74.61157
Africa (BP),,2014,21.89209
Africa (BP),,2015,55.811523
Africa (BP),,2016,11.780762
Africa (BP),,2017,22.164062
Africa (BP),,2018,24.41211
Africa (BP),,2019,4.5339355
Africa (BP),,2020,-250.98328
Africa (BP),,2021,172.48938
Algeria,DZA,1966,4.8674536
Algeria,DZA,1967,-1.3306751
Algeria,DZA,1968,1.2252712
Algeria,DZA,1969,1.1386299
Algeria,DZA,1970,3.041748
Algeria,DZA,1971,3.092369
Algeria,DZA,1972,2.681366
Algeria,DZA,1973,2.7789307
Algeria,DZA,1974,3.6434937
Algeria,DZA,1975,4.08683
Algeria,DZA,1976,6.087063
Algeria,DZA,1977,6.0887604
Algeria,DZA,1978,1.8014526
Algeria,DZA,1979,10.710674
Algeria,DZA,1980,0.88381195
Algeria,DZA,1981,5.1206436
Algeria,DZA,1982,4.2503433
Algeria,DZA,1983,9.319
Algeria,DZA,1984,9.109589
Algeria,DZA,1985,2.551796
Algeria,DZA,1986,1.4674454
Algeria,DZA,1987,1.0792694
Algeria,DZA,1988,0.07208252
Algeria,DZA,1989,4.7640533
Algeria,DZA,1990,7.874962
Algeria,DZA,1991,-1.1838303
Algeria,DZA,1992,0.6648712
Algeria,DZA,1993,-0.53778076
Algeria,DZA,1994,-4.703987
Algeria,DZA,1995,-2.9086075
Algeria,DZA,1996,-4.720207
Algeria,DZA,1997,-0.778656
Algeria,DZA,1998,3.015335
Algeria,DZA,1999,-1.7604065
Algeria,DZA,2000,4.234131
Algeria,DZA,2001,3.6428528
Algeria,DZA,2002,11.621895
Algeria,DZA,2003,4.776886
Algeria,DZA,2004,5.5727158
Algeria,DZA,2005,5.4665527
Algeria,DZA,2006,5.6323395
Algeria,DZA,2007,16.544266
Algeria,DZA,2008,13.525909
Algeria,DZA,2009,10.218521
Algeria,DZA,2010,1.4774933
Algeria,DZA,2011,10.615738
Algeria,DZA,2012,12.167618
Algeria,DZA,2013,9.181122
Algeria,DZA,2014,8.348755
Algeria,DZA,2015,14.223343
Algeria,DZA,2016,-6.5846405
Algeria,DZA,2017,-4.0517273
Algeria,DZA,2018,4.0154877
Algeria,DZA,2019,7.9595947
Algeria,DZA,2020,-25.852036
Algeria,DZA,2021,8.206436
Argentina,ARG,1966,8.659302
Argentina,ARG,1967,6.8573
Argentina,ARG,1968,6.0588684
Argentina,ARG,1969,11.215668
Argentina,ARG,1970,-29.576385
Argentina,ARG,1971,18.065796
Argentina,ARG,1972,-1.3149109
Argentina,ARG,1973,2.065979
Argentina,ARG,1974,-0.14157104
Argentina,ARG,1975,-15.82782
Argentina,ARG,1976,8.925873
Argentina,ARG,1977,15.435669
Argentina,ARG,1978,-8.361786
Argentina,ARG,1979,22.580566
Argentina,ARG,1980,-22.871796
Argentina,ARG,1981,-18.412018
Argentina,ARG,1982,-13.547577
Argentina,ARG,1983,3.7348633
Argentina,ARG,1984,-13.152634
Argentina,ARG,1985,-18.080338
Argentina,ARG,1986,12.198715
Argentina,ARG,1987,16.834122
Argentina,ARG,1988,1.7806702
Argentina,ARG,1989,-22.013
Argentina,ARG,1990,-16.361038
Argentina,ARG,1991,10.296997
Argentina,ARG,1992,12.436279
Argentina,ARG,1993,-4.9396667
Argentina,ARG,1994,13.7287445
Argentina,ARG,1995,-1.9517822
Argentina,ARG,1996,0.26745605
Argentina,ARG,1997,15.488647
Argentina,ARG,1998,7.985718
Argentina,ARG,1999,3.687683
Argentina,ARG,2000,-22.06195
Argentina,ARG,2001,-19.602814
Argentina,ARG,2002,-12.479843
Argentina,ARG,2003,4.6068726
Argentina,ARG,2004,17.264389
Argentina,ARG,2005,12.071655
Argentina,ARG,2006,14.593689
Argentina,ARG,2007,32.39377
Argentina,ARG,2008,3.3060913
Argentina,ARG,2009,-13.9939575
Argentina,ARG,2010,25.10028
Argentina,ARG,2011,11.847778
Argentina,ARG,2012,21.25064
Argentina,ARG,2013,22.52713
Argentina,ARG,2014,-3.86792
Argentina,ARG,2015,7.3930664
Argentina,ARG,2016,-12.014435
Argentina,ARG,2017,-4.3970337
Argentina,ARG,2018,-17.686493
Argentina,ARG,2019,-28.488098
Argentina,ARG,2020,-27.34552
Argentina,ARG,2021,43.217987
Asia,,1966,273.344
Asia,,1967,372.67578
Asia,,1968,371.8374
Asia,,1969,494.56055
Asia,,1970,550.21387
Asia,,1971,485.10254
Asia,,1972,386.68457
Asia,,1973,705.9951
Asia,,1974,-9.385254
Asia,,1975,-45.4458
Asia,,1976,457.40088
Asia,,1977,411.7998
Asia,,1978,421.21973
Asia,,1979,262.58203
Asia,,1980,-405.07764
Asia,,1981,-66.8833
Asia,,1982,-26.590332
Asia,,1983,247.95459
Asia,,1984,356.19043
Asia,,1985,723.0293
Asia,,1986,185.38672
Asia,,1987,288.83496
Asia,,1988,630.6201
Asia,,1989,443.04004
Asia,,1990,569.001
Asia,,1991,357.51953
Asia,,1992,622.6279
Asia,,1993,438.19043
Asia,,1994,613.67285
Asia,,1995,676.45996
Asia,,1996,559.29785
Asia,,1997,642.03516
Asia,,1998,-273.30762
Asia,,1999,441.7754
Asia,,2000,508.25977
Asia,,2001,155.24316
Asia,,2002,397.80273
Asia,,2003,624.1094
Asia,,2004,978.90137
Asia,,2005,179.88086
Asia,,2006,450.2793
Asia,,2007,558.9258
Asia,,2008,232.21484
Asia,,2009,149.3418
Asia,,2010,1099.8809
Asia,,2011,565.8867
Asia,,2012,906.6094
Asia,,2013,386.08398
Asia,,2014,358.09766
Asia,,2015,792.459
Asia,,2016,798.06836
Asia,,2017,571.1426
Asia,,2018,511.17383
Asia,,2019,248.36719
Asia,,2020,-1450.3008
Asia,,2021,1039.9473
Asia Pacific (BP),,1966,270.41028
Asia Pacific (BP),,1967,363.94995
Asia Pacific (BP),,1968,366.17456
Asia Pacific (BP),,1969,473.5381
Asia Pacific (BP),,1970,545.9424
Asia Pacific (BP),,1971,443.531
Asia Pacific (BP),,1972,341.89014
Asia Pacific (BP),,1973,647.5801
Asia Pacific (BP),,1974,-35.050293
Asia Pacific (BP),,1975,-31.105957
Asia Pacific (BP),,1976,341.54102
Asia Pacific (BP),,1977,290.5371
Asia Pacific (BP),,1978,367.9087
Asia Pacific (BP),,1979,157.03564
Asia Pacific (BP),,1980,-380.0381
Asia Pacific (BP),,1981,-174.23242
Asia Pacific (BP),,1982,-160.82422
Asia Pacific (BP),,1983,42.53711
Asia Pacific (BP),,1984,229.71484
Asia Pacific (BP),,1985,-54.384277
Asia Pacific (BP),,1986,207.2456
Asia Pacific (BP),,1987,198.61523
Asia Pacific (BP),,1988,553.292
Asia Pacific (BP),,1989,426.79736
Asia Pacific (BP),,1990,442.2915
Asia Pacific (BP),,1991,328.21924
Asia Pacific (BP),,1992,560.1343
