Entity,Code,Year,Batteries,Storage (general),Storage (excl. batteries),Thermal energy storage
Africa,,2000,5,1,1,3
Africa,,2001,11,2,,4
Africa,,2002,15,,,
Africa,,2003,13,2,1,
Africa,,2004,9,5,8,3
Africa,,2005,9,7,3,3
Africa,,2006,13,6,5,1
Africa,,2007,13,4,4,1
Africa,,2008,12,1,2,5
Africa,,2009,13,15,5,2
Africa,,2010,14,11,3,5
Africa,,2011,15,25,8,11
Africa,,2012,17,18,5,21
Africa,,2013,19,14,8,19
Africa,,2014,17,14,4,18
Africa,,2015,24,17,1,27
Africa,,2016,15,3,1,8
Africa,,2017,20,9,2,12
Africa,,2018,19,8,1,7
Africa,,2019,15,9,2,2
Africa,,2020,2,1,,1
Algeria,DZA,2000,,,,1
Argentina,ARG,2000,18,1,,
Argentina,ARG,2001,14,1,1,
Argentina,ARG,2002,6,,,1
Argentina,ARG,2003,4,,,
Argentina,ARG,2004,3,1,1,
Argentina,ARG,2005,3,2,1,
Argentina,ARG,2006,4,,1,
Argentina,ARG,2007,3,,1,
Argentina,ARG,2008,5,,1,
Argentina,ARG,2009,11,1,1,1
Argentina,ARG,2011,5,3,1,1
Argentina,ARG,2012,6,3,,
Argentina,ARG,2013,6,5,,5
Argentina,ARG,2014,3,2,3,
Argentina,ARG,2015,11,4,,
Argentina,ARG,2016,6,6,1,2
Argentina,ARG,2017,6,1,,
Argentina,ARG,2018,5,2,2,1
Argentina,ARG,2019,3,,,1
Argentina,ARG,2010,,,1,2
Asia,,2000,6225,74,70,266
Asia,,2001,6216,91,70,196
Asia,,2002,5993,92,76,273
Asia,,2003,5618,94,68,267
Asia,,2004,6385,147,93,198
Asia,,2005,7296,195,124,243
Asia,,2006,8493,268,120,279
Asia,,2007,8998,347,217,258
Asia,,2008,10174,508,187,305
Asia,,2009,11634,841,225,397
Asia,,2010,15455,994,386,402
Asia,,2011,20205,1107,358,469
Asia,,2012,22559,1135,453,591
Asia,,2013,22422,973,416,699
Asia,,2014,23339,1602,494,801
Asia,,2015,25252,2156,447,889
Asia,,2016,32062,2599,491,1225
Asia,,2017,39119,2718,607,1423
Asia,,2018,45342,2741,600,1358
Asia,,2019,42472,2495,698,1675
Asia,,2020,30533,2351,546,1325
Asia,,2021,910,164,50,86
Australia,AUS,2000,324,11,16,26
Australia,AUS,2001,380,15,21,31
Australia,AUS,2002,208,11,12,8
Australia,AUS,2003,428,18,19,34
Australia,AUS,2004,57,13,7,3
Australia,AUS,2005,50,23,5,13
Australia,AUS,2006,52,10,3,10
Australia,AUS,2007,57,15,10,18
Australia,AUS,2008,68,16,10,12
Australia,AUS,2009,66,25,11,16
Australia,AUS,2010,103,35,19,20
Australia,AUS,2011,101,31,14,23
Australia,AUS,2012,93,37,16,24
Australia,AUS,2013,95,41,14,24
Australia,AUS,2014,117,26,24,18
Australia,AUS,2015,152,32,9,28
Australia,AUS,2016,151,49,17,21
Australia,AUS,2017,194,50,20,20
Australia,AUS,2018,193,59,25,29
Australia,AUS,2019,164,42,23,21
Australia,AUS,2020,85,20,11,7
Australia,AUS,2021,12,12,3,2
Austria,AUT,2000,125,2,4,13
Austria,AUT,2001,110,2,2,8
Austria,AUT,2002,116,8,8,13
Austria,AUT,2003,102,5,5,20
Austria,AUT,2004,99,9,6,23
Austria,AUT,2005,114,8,1,22
Austria,AUT,2006,104,4,2,13
Austria,AUT,2007,104,7,3,13
Austria,AUT,2008,103,8,7,11
Austria,AUT,2009,59,8,3,21
Austria,AUT,2010,41,4,1,14
Austria,AUT,2011,27,5,1,9
Austria,AUT,2012,14,,1,4
Austria,AUT,2013,21,2,3,11
Austria,AUT,2014,18,1,3,3
Austria,AUT,2015,5,,,5
Austria,AUT,2016,7,,,9
Austria,AUT,2017,20,2,1,3
Austria,AUT,2018,23,,1,3
Austria,AUT,2019,22,3,3,4
Austria,AUT,2020,4,,,
Belgium,BEL,2007,1,,1,1
Belgium,BEL,2009,1,,1,1
Belgium,BEL,2010,1,,,
Belgium,BEL,2011,1,,1,1
Belgium,BEL,2012,1,,,1
Belgium,BEL,2013,2,,,1
Belgium,BEL,2014,1,,2,2
Belgium,BEL,2015,1,,,1
Belgium,BEL,2017,1,,,3
Belgium,BEL,2018,2,,5,1
Belgium,BEL,2019,1,,1,
Belgium,BEL,2020,3,,,
Belgium,BEL,2005,,1,,
Belgium,BEL,2016,,1,,4
Belgium,BEL,2003,,,1,
Belgium,BEL,2006,,,1,1
Brazil,BRA,2000,61,2,1,3
Brazil,BRA,2001,41,10,7,4
Brazil,BRA,2002,37,13,6,2
Brazil,BRA,2003,45,7,4,4
Brazil,BRA,2004,62,8,9,5
Brazil,BRA,2005,81,10,3,7
Brazil,BRA,2006,84,13,,5
Brazil,BRA,2007,74,17,10,6
Brazil,BRA,2008,102,10,11,4
Brazil,BRA,2009,91,36,19,10
Brazil,BRA,2010,206,34,13,18
Brazil,BRA,2011,144,15,6,25
Brazil,BRA,2012,142,25,12,10
Brazil,BRA,2013,112,18,8,18
Brazil,BRA,2014,91,22,13,8
Brazil,BRA,2015,108,26,8,5
Brazil,BRA,2016,93,26,5,8
Brazil,BRA,2017,138,26,6,5
Brazil,BRA,2018,127,23,8,4
Brazil,BRA,2019,76,10,9,8
Brazil,BRA,2020,8,2,1,
Bulgaria,BGR,2000,1,,,
Bulgaria,BGR,2001,3,,,
Bulgaria,BGR,2002,1,,,
Bulgaria,BGR,2011,1,,1,
Bulgaria,BGR,2012,1,,1,
Bulgaria,BGR,2015,1,,,1
Bulgaria,BGR,2017,2,,,1
Bulgaria,BGR,2018,1,,,
Bulgaria,BGR,2020,,1,1,
Bulgaria,BGR,2006,,,1,
Bulgaria,BGR,2013,,,2,
Bulgaria,BGR,2003,,,,1
Bulgaria,BGR,2007,,,,1
Canada,CAN,2000,281,2,5,9
Canada,CAN,2001,236,9,6,13
Canada,CAN,2002,186,12,8,8
Canada,CAN,2003,168,9,5,8
Canada,CAN,2004,180,18,14,8
Canada,CAN,2005,184,25,7,13
Canada,CAN,2006,180,14,4,19
Canada,CAN,2007,159,15,13,8
Canada,CAN,2008,181,30,14,13
Canada,CAN,2009,146,41,19,17
Canada,CAN,2010,214,38,37,24
Canada,CAN,2011,235,36,29,30
Canada,CAN,2012,235,47,26,20
Canada,CAN,2013,226,35,37,26
Canada,CAN,2014,244,35,45,23
Canada,CAN,2015,264,32,13,18
Canada,CAN,2016,212,42,22,28
Canada,CAN,2017,254,39,16,24
Canada,CAN,2018,269,42,13,21
Canada,CAN,2019,226,35,14,16
Canada,CAN,2020,53,10,4,5
Chile,CHL,2007,2,,1,
Chile,CHL,2008,3,2,1,
Chile,CHL,2009,2,3,3,2
Chile,CHL,2010,2,,,
Chile,CHL,2011,1,4,2,3
Chile,CHL,2012,1,4,1,5
Chile,CHL,2013,8,3,2,4
Chile,CHL,2014,3,11,3,5
Chile,CHL,2015,5,11,2,15
Chile,CHL,2016,4,4,2,5
Chile,CHL,2017,15,4,1,6
Chile,CHL,2018,8,3,1,4
Chile,CHL,2019,5,6,1,1
Chile,CHL,2020,7,5,,3
China,CHN,2000,553,11,8,17
China,CHN,2001,656,22,16,10
China,CHN,2002,801,24,9,42
China,CHN,2003,917,21,15,47
China,CHN,2004,1237,44,23,53
China,CHN,2005,1786,88,49,42
China,CHN,2006,2536,155,49,59
China,CHN,2007,2978,228,90,91
China,CHN,2008,3753,341,70,125
China,CHN,2009,4887,534,98,171
China,CHN,2010,6428,624,213,196
China,CHN,2011,8800,724,191,240
China,CHN,2012,10201,689,254,321
China,CHN,2013,10553,642,272,417
China,CHN,2014,11614,1096,270,432
China,CHN,2015,13907,1585,270,547
China,CHN,2016,20775,1858,380,849
China,CHN,2017,27719,2123,459,1104
China,CHN,2018,33137,2022,449,1127
China,CHN,2019,33175,2045,597,1459
China,CHN,2020,28623,2240,510,1267
