Entity,Code,Year,Total patents
Africa,,2000,81
Africa,,2001,139
Africa,,2002,146
Africa,,2003,155
Africa,,2004,201
Africa,,2005,236
Africa,,2006,216
Africa,,2007,314
Africa,,2008,397
Africa,,2009,453
Africa,,2010,689
Africa,,2011,988
Africa,,2012,961
Africa,,2013,864
Africa,,2014,806
Africa,,2015,637
Africa,,2016,399
Africa,,2017,323
Africa,,2018,361
Africa,,2019,252
Africa,,2020,43
Africa,,2021,1
Algeria,DZA,2000,5
Algeria,DZA,2001,6
Algeria,DZA,2002,2
Argentina,ARG,2000,95
Argentina,ARG,2001,63
Argentina,ARG,2002,97
Argentina,ARG,2003,74
Argentina,ARG,2004,76
Argentina,ARG,2005,95
Argentina,ARG,2006,120
Argentina,ARG,2007,127
Argentina,ARG,2008,159
Argentina,ARG,2009,188
Argentina,ARG,2010,242
Argentina,ARG,2011,176
Argentina,ARG,2012,229
Argentina,ARG,2013,243
Argentina,ARG,2014,159
Argentina,ARG,2015,148
Argentina,ARG,2016,156
Argentina,ARG,2017,107
Argentina,ARG,2018,93
Argentina,ARG,2019,79
Asia,,2000,18183
Asia,,2001,19516
Asia,,2002,21388
Asia,,2003,23709
Asia,,2004,26864
Asia,,2005,30236
Asia,,2006,37837
Asia,,2007,42603
Asia,,2008,51342
Asia,,2009,62900
Asia,,2010,78636
Asia,,2011,94590
Asia,,2012,100959
Asia,,2013,93629
Asia,,2014,98684
Asia,,2015,106372
Asia,,2016,133060
Asia,,2017,157106
Asia,,2018,175291
Asia,,2019,174369
Asia,,2020,135798
Asia,,2021,7206
Australia,AUS,2000,1778
Australia,AUS,2001,2378
Australia,AUS,2002,1603
Australia,AUS,2003,3347
Australia,AUS,2004,877
Australia,AUS,2005,932
Australia,AUS,2006,1008
Australia,AUS,2007,1450
Australia,AUS,2008,1661
Australia,AUS,2009,2128
Australia,AUS,2010,2635
Australia,AUS,2011,2381
Australia,AUS,2012,2364
Australia,AUS,2013,2066
Australia,AUS,2014,1790
Australia,AUS,2015,1722
Australia,AUS,2016,1707
Australia,AUS,2017,1914
Australia,AUS,2018,2042
Australia,AUS,2019,1806
Australia,AUS,2020,722
Australia,AUS,2021,310
Austria,AUT,2000,833
Austria,AUT,2001,816
Austria,AUT,2002,959
Austria,AUT,2003,866
Austria,AUT,2004,864
Austria,AUT,2005,932
Austria,AUT,2006,939
Austria,AUT,2007,1024
Austria,AUT,2008,1092
Austria,AUT,2009,753
Austria,AUT,2010,452
Austria,AUT,2011,278
Austria,AUT,2012,205
Austria,AUT,2013,162
Austria,AUT,2014,161
Austria,AUT,2015,166
Austria,AUT,2016,128
Austria,AUT,2017,149
Austria,AUT,2018,154
Austria,AUT,2019,145
Austria,AUT,2020,12
Belarus,BLR,2007,1
Belgium,BEL,2000,22
Belgium,BEL,2001,13
Belgium,BEL,2002,12
Belgium,BEL,2003,7
Belgium,BEL,2004,18
Belgium,BEL,2005,35
Belgium,BEL,2006,19
Belgium,BEL,2007,39
Belgium,BEL,2008,34
Belgium,BEL,2009,46
Belgium,BEL,2010,29
Belgium,BEL,2011,49
Belgium,BEL,2012,46
Belgium,BEL,2013,30
Belgium,BEL,2014,54
Belgium,BEL,2015,39
Belgium,BEL,2016,40
Belgium,BEL,2017,66
Belgium,BEL,2018,87
Belgium,BEL,2019,43
Belgium,BEL,2020,5
Brazil,BRA,2000,374
Brazil,BRA,2001,467
Brazil,BRA,2002,456
Brazil,BRA,2003,480
Brazil,BRA,2004,556
Brazil,BRA,2005,635
Brazil,BRA,2006,876
Brazil,BRA,2007,1304
Brazil,BRA,2008,1340
Brazil,BRA,2009,1822
Brazil,BRA,2010,2349
Brazil,BRA,2011,2275
Brazil,BRA,2012,2195
Brazil,BRA,2013,1756
Brazil,BRA,2014,1340
Brazil,BRA,2015,1302
Brazil,BRA,2016,1403
Brazil,BRA,2017,1364
Brazil,BRA,2018,1225
Brazil,BRA,2019,818
Brazil,BRA,2020,78
Bulgaria,BGR,2000,12
Bulgaria,BGR,2001,23
Bulgaria,BGR,2002,14
Bulgaria,BGR,2003,21
Bulgaria,BGR,2004,13
Bulgaria,BGR,2005,22
Bulgaria,BGR,2006,19
Bulgaria,BGR,2007,15
Bulgaria,BGR,2008,18
Bulgaria,BGR,2009,14
Bulgaria,BGR,2010,7
Bulgaria,BGR,2011,27
Bulgaria,BGR,2012,33
Bulgaria,BGR,2013,27
Bulgaria,BGR,2014,9
Bulgaria,BGR,2015,22
Bulgaria,BGR,2016,13
Bulgaria,BGR,2017,8
Bulgaria,BGR,2018,20
Bulgaria,BGR,2019,13
Bulgaria,BGR,2020,12
Canada,CAN,2000,1389
Canada,CAN,2001,1445
Canada,CAN,2002,1604
Canada,CAN,2003,1631
Canada,CAN,2004,1717
Canada,CAN,2005,1805
Canada,CAN,2006,2048
Canada,CAN,2007,2570
Canada,CAN,2008,2675
Canada,CAN,2009,3069
Canada,CAN,2010,3425
Canada,CAN,2011,3368
Canada,CAN,2012,3449
Canada,CAN,2013,3175
Canada,CAN,2014,3073
Canada,CAN,2015,2937
Canada,CAN,2016,2605
Canada,CAN,2017,2548
Canada,CAN,2018,2323
Canada,CAN,2019,1960
Canada,CAN,2020,364
Canada,CAN,2021,1
Chile,CHL,2003,1
Chile,CHL,2004,7
Chile,CHL,2006,5
Chile,CHL,2007,31
Chile,CHL,2008,106
Chile,CHL,2009,95
Chile,CHL,2010,63
Chile,CHL,2011,226
Chile,CHL,2012,306
Chile,CHL,2013,320
Chile,CHL,2014,333
Chile,CHL,2015,303
Chile,CHL,2016,281
Chile,CHL,2017,191
Chile,CHL,2018,164
Chile,CHL,2019,202
Chile,CHL,2020,169
Chile,CHL,2021,7
China,CHN,2000,2132
China,CHN,2001,2687
China,CHN,2002,3530
China,CHN,2003,4512
China,CHN,2004,5805
China,CHN,2005,7778
China,CHN,2006,12201
China,CHN,2007,15157
China,CHN,2008,19972
China,CHN,2009,26458
China,CHN,2010,35209
China,CHN,2011,44164
China,CHN,2012,48954
China,CHN,2013,47920
China,CHN,2014,52964
China,CHN,2015,65398
China,CHN,2016,91145
China,CHN,2017,117091
China,CHN,2018,132740
China,CHN,2019,141244
China,CHN,2020,128933
China,CHN,2021,6380
Colombia,COL,2000,12
Colombia,COL,2001,5
Colombia,COL,2002,1
Colombia,COL,2004,4
Colombia,COL,2005,10
Colombia,COL,2006,3
Colombia,COL,2007,10
Colombia,COL,2008,20
Colombia,COL,2009,46
Colombia,COL,2010,49
Colombia,COL,2011,102
Colombia,COL,2012,110
Colombia,COL,2013,98
Colombia,COL,2014,58
Colombia,COL,2015,18
Colombia,COL,2016,5
Colombia,COL,2017,63
Colombia,COL,2018,78
Colombia,COL,2019,67
Colombia,COL,2020,59
Colombia,COL,2021,28
Costa Rica,CRI,2003,5
Costa Rica,CRI,2004,4
Costa Rica,CRI,2005,11
Costa Rica,CRI,2006,3
Costa Rica,CRI,2007,10
Costa Rica,CRI,2008,15
Costa Rica,CRI,2009,14
Costa Rica,CRI,2010,10
Costa Rica,CRI,2011,30
Costa Rica,CRI,2012,8
Costa Rica,CRI,2013,26
Costa Rica,CRI,2014,18
Costa Rica,CRI,2015,14
Costa Rica,CRI,2016,2
Costa Rica,CRI,2017,9
Costa Rica,CRI,2018,22
Costa Rica,CRI,2019,4
Croatia,HRV,2000,13
Croatia,HRV,2001,11
Croatia,HRV,2002,10
Croatia,HRV,2003,11
Croatia,HRV,2004,17
Croatia,HRV,2005,11
Croatia,HRV,2006,15
Croatia,HRV,2007,13
Croatia,HRV,2008,23
Croatia,HRV,2009,17
Croatia,HRV,2010,14
Croatia,HRV,2011,60
Croatia,HRV,2012,79
Croatia,HRV,2013,61
Croatia,HRV,2014,76
Croatia,HRV,2015,74
Croatia,HRV,2016,129
Croatia,HRV,2017,131
Croatia,HRV,2018,155
Croatia,HRV,2019,157
Croatia,HRV,2020,106
Croatia,HRV,2021,42
Cuba,CUB,2000,12
Cuba,CUB,2002,6
Cuba,CUB,2003,1
Cuba,CUB,2005,5
Cuba,CUB,2006,1
Cuba,CUB,2007,5
Cuba,CUB,2008,4
Cuba,CUB,2009,9
Cuba,CUB,2010,4
Cuba,CUB,2011,19
Cuba,CUB,2012,14
Cuba,CUB,2013,18
Cuba,CUB,2014,69
Cuba,CUB,2015,14
Cuba,CUB,2016,3
Cuba,CUB,2017,17
Cuba,CUB,2019,1
Cyprus,CYP,2004,1
Cyprus,CYP,2005,3
Cyprus,CYP,2006,5
Cyprus,CYP,2007,23
Cyprus,CYP,2008,38
Cyprus,CYP,2009,28
Cyprus,CYP,2010,32
Cyprus,CYP,2011,49
Cyprus,CYP,2012,85
Cyprus,CYP,2013,54
Cyprus,CYP,2014,61
Cyprus,CYP,2015,77
Cyprus,CYP,2016,89
Cyprus,CYP,2017,73
Cyprus,CYP,2018,77
Cyprus,CYP,2019,24
Czechia,CZE,2000,103
Czechia,CZE,2001,93
Czechia,CZE,2002,61
Czechia,CZE,2003,52
Czechia,CZE,2004,38
Czechia,CZE,2005,48
Czechia,CZE,2006,57
Czechia,CZE,2007,85
Czechia,CZE,2008,73
Czechia,CZE,2009,111
Czechia,CZE,2010,77
Czechia,CZE,2011,97
Czechia,CZE,2012,133
Czechia,CZE,2013,59
Czechia,CZE,2014,58
Czechia,CZE,2015,39
Czechia,CZE,2016,37
Czechia,CZE,2017,66
Czechia,CZE,2018,78
Czechia,CZE,2019,95
Czechia,CZE,2020,32
Czechia,CZE,2021,10
Denmark,DNK,2000,255
Denmark,DNK,2001,217
Denmark,DNK,2002,318
Denmark,DNK,2003,293
Denmark,DNK,2004,335
Denmark,DNK,2005,345
Denmark,DNK,2006,377
Denmark,DNK,2007,470
Denmark,DNK,2008,639
Denmark,DNK,2009,822
Denmark,DNK,2010,1014
Denmark,DNK,2011,1193
Denmark,DNK,2012,1144
Denmark,DNK,2013,1031
Denmark,DNK,2014,962
Denmark,DNK,2015,758
Denmark,DNK,2016,665
Denmark,DNK,2017,499
Denmark,DNK,2018,260
Denmark,DNK,2019,121
Denmark,DNK,2020,37
Denmark,DNK,2021,20
Dominican Republic,DOM,2006,1
Dominican Republic,DOM,2007,1
Dominican Republic,DOM,2009,7
Dominican Republic,DOM,2010,11
Dominican Republic,DOM,2011,11
Dominican Republic,DOM,2012,10
Dominican Republic,DOM,2013,9
Dominican Republic,DOM,2014,4
Dominican Republic,DOM,2015,5
Dominican Republic,DOM,2016,9
Dominican Republic,DOM,2017,7
Dominican Republic,DOM,2018,4
Dominican Republic,DOM,2019,10
Ecuador,ECU,2000,1
Ecuador,ECU,2003,3
Ecuador,ECU,2004,2
Ecuador,ECU,2005,8
Ecuador,ECU,2006,9
Ecuador,ECU,2007,5
Ecuador,ECU,2008,9
Ecuador,ECU,2009,22
Ecuador,ECU,2010,21
Ecuador,ECU,2011,50
Ecuador,ECU,2012,20
Ecuador,ECU,2013,20
Ecuador,ECU,2014,10
Ecuador,ECU,2015,11
Ecuador,ECU,2016,1
Ecuador,ECU,2017,7
Ecuador,ECU,2018,14
Ecuador,ECU,2019,17
Ecuador,ECU,2020,7
Egypt,EGY,2000,11
Egypt,EGY,2001,7
Egypt,EGY,2002,8
Egypt,EGY,2003,4
Egypt,EGY,2004,3
Egypt,EGY,2005,12
Egypt,EGY,2006,20
Egypt,EGY,2007,29
Egypt,EGY,2008,38
Egypt,EGY,2009,59
Egypt,EGY,2010,53
Egypt,EGY,2011,55
Egypt,EGY,2012,23
El Salvador,SLV,2009,4
El Salvador,SLV,2010,5
El Salvador,SLV,2011,4
El Salvador,SLV,2013,1
El Salvador,SLV,2016,1
El Salvador,SLV,2017,5
El Salvador,SLV,2018,1
Estonia,EST,2000,4
Estonia,EST,2001,9
Estonia,EST,2002,5
Estonia,EST,2004,2
Estonia,EST,2005,10
Estonia,EST,2006,1
Estonia,EST,2007,4
Estonia,EST,2008,11
Estonia,EST,2009,5
Estonia,EST,2010,12
Estonia,EST,2011,4
Estonia,EST,2012,2
Estonia,EST,2013,1
Estonia,EST,2014,2
Estonia,EST,2015,1
Estonia,EST,2016,9
Estonia,EST,2017,2
Estonia,EST,2018,2
Estonia,EST,2019,2
Europe,,2000,7768
Europe,,2001,7688
Europe,,2002,8463
Europe,,2003,8312
Europe,,2004,8571
Europe,,2005,9754
Europe,,2006,11257
Europe,,2007,13778
Europe,,2008,16012
Europe,,2009,18280
Europe,,2010,20422
Europe,,2011,21829
Europe,,2012,21923
Europe,,2013,19485
Europe,,2014,18376
Europe,,2015,17129
Europe,,2016,16011
Europe,,2017,17103
Europe,,2018,17094
Europe,,2019,15208
Europe,,2020,3846
Europe,,2021,284
European Union (27),,2000,6859
European Union (27),,2001,6632
European Union (27),,2002,7335
European Union (27),,2003,6865
European Union (27),,2004,7194
European Union (27),,2005,7968
European Union (27),,2006,9102
European Union (27),,2007,11001
European Union (27),,2008,12845
European Union (27),,2009,14779
European Union (27),,2010,16678
European Union (27),,2011,18062
European Union (27),,2012,17970
European Union (27),,2013,15919
European Union (27),,2014,14803
European Union (27),,2015,13785
European Union (27),,2016,13175
European Union (27),,2017,14195
European Union (27),,2018,14425
European Union (27),,2019,12958
European Union (27),,2020,3108
European Union (27),,2021,263
Finland,FIN,2000,21
Finland,FIN,2001,20
Finland,FIN,2002,26
Finland,FIN,2003,28
Finland,FIN,2004,35
Finland,FIN,2005,40
Finland,FIN,2006,71
Finland,FIN,2007,57
Finland,FIN,2008,89
Finland,FIN,2009,88
Finland,FIN,2010,124
Finland,FIN,2011,91
Finland,FIN,2012,104
Finland,FIN,2013,76
Finland,FIN,2014,88
Finland,FIN,2015,74
Finland,FIN,2016,88
Finland,FIN,2017,104
Finland,FIN,2018,141
Finland,FIN,2019,125
Finland,FIN,2020,32
Finland,FIN,2021,1
France,FRA,2000,408
France,FRA,2001,378
France,FRA,2002,457
France,FRA,2003,462
France,FRA,2004,595
France,FRA,2005,628
France,FRA,2006,756
France,FRA,2007,974
France,FRA,2008,1214
France,FRA,2009,1677
France,FRA,2010,1976
France,FRA,2011,2165
France,FRA,2012,2050
France,FRA,2013,1830
France,FRA,2014,1565
France,FRA,2015,1519
France,FRA,2016,1334
France,FRA,2017,1477
France,FRA,2018,1599
France,FRA,2019,1644
France,FRA,2020,99
Georgia,GEO,2000,11
Georgia,GEO,2001,9
Georgia,GEO,2002,5
Georgia,GEO,2003,6
Georgia,GEO,2004,7
Georgia,GEO,2005,10
Georgia,GEO,2006,7
Georgia,GEO,2007,6
Georgia,GEO,2008,4
Georgia,GEO,2009,6
Georgia,GEO,2010,14
Georgia,GEO,2011,13
Georgia,GEO,2012,7
Georgia,GEO,2013,2
Georgia,GEO,2014,4
Georgia,GEO,2015,4
Georgia,GEO,2016,4
Georgia,GEO,2019,2
Germany,DEU,2000,3934
Germany,DEU,2001,3818
Germany,DEU,2002,3980
Germany,DEU,2003,3754
Germany,DEU,2004,3621
Germany,DEU,2005,4128
Germany,DEU,2006,4711
Germany,DEU,2007,5624
Germany,DEU,2008,6159
Germany,DEU,2009,6904
Germany,DEU,2010,8162
Germany,DEU,2011,8972
Germany,DEU,2012,9175
Germany,DEU,2013,8222
Germany,DEU,2014,7964
Germany,DEU,2015,7498
Germany,DEU,2016,7506
Germany,DEU,2017,9117
Germany,DEU,2018,9966
Germany,DEU,2019,9514
Germany,DEU,2020,2469
Germany,DEU,2021,167
Greece,GRC,2000,70
Greece,GRC,2001,47
Greece,GRC,2002,10
Greece,GRC,2003,29
Greece,GRC,2004,23
Greece,GRC,2005,17
Greece,GRC,2006,71
Greece,GRC,2007,66
Greece,GRC,2008,72
Greece,GRC,2009,80
Greece,GRC,2010,108
Greece,GRC,2011,98
Greece,GRC,2012,55
Greece,GRC,2013,54
Greece,GRC,2014,60
Greece,GRC,2015,34
Greece,GRC,2016,47
Greece,GRC,2017,27
Greece,GRC,2018,41
Greece,GRC,2019,23
Greece,GRC,2020,14
Guatemala,GTM,2000,1
Guatemala,GTM,2001,2
Guatemala,GTM,2005,1
Guatemala,GTM,2007,7
Guatemala,GTM,2008,2
Guatemala,GTM,2009,14
Guatemala,GTM,2010,1
Guatemala,GTM,2011,5
Guatemala,GTM,2012,12
Guatemala,GTM,2013,10
Guatemala,GTM,2014,4
Guatemala,GTM,2015,5
Guatemala,GTM,2016,4
Guatemala,GTM,2017,8
High-income countries,,2000,31386
High-income countries,,2001,34386
High-income countries,,2002,36284
High-income countries,,2003,39898
High-income countries,,2004,41111
High-income countries,,2005,45652
High-income countries,,2006,51564
High-income countries,,2007,58870
High-income countries,,2008,67605
High-income countries,,2009,78643
High-income countries,,2010,93883
High-income countries,,2011,106205
High-income countries,,2012,108290
High-income countries,,2013,98945
High-income countries,,2014,96241
High-income countries,,2015,90388
High-income countries,,2016,90617
High-income countries,,2017,90829
High-income countries,,2018,92943
High-income countries,,2019,78196
High-income countries,,2020,26843
High-income countries,,2021,2953
Honduras,HND,2008,3
Honduras,HND,2009,1
Honduras,HND,2010,3
Honduras,HND,2011,5
Honduras,HND,2012,1
Hong Kong,HKG,2000,78
Hong Kong,HKG,2001,87
Hong Kong,HKG,2002,224
Hong Kong,HKG,2003,166
Hong Kong,HKG,2004,114
Hong Kong,HKG,2005,153
Hong Kong,HKG,2006,189
Hong Kong,HKG,2007,146
Hong Kong,HKG,2008,194
Hong Kong,HKG,2009,212
Hong Kong,HKG,2010,210
Hong Kong,HKG,2011,302
Hong Kong,HKG,2012,266
Hong Kong,HKG,2013,266
Hong Kong,HKG,2014,195
Hong Kong,HKG,2015,631
Hong Kong,HKG,2016,552
Hong Kong,HKG,2017,24
Hong Kong,HKG,2018,455
Hong Kong,HKG,2019,61
Hungary,HUN,2000,60
Hungary,HUN,2001,62
Hungary,HUN,2002,69
Hungary,HUN,2003,27
Hungary,HUN,2004,48
Hungary,HUN,2005,34
Hungary,HUN,2006,64
Hungary,HUN,2007,96
Hungary,HUN,2008,100
Hungary,HUN,2009,140
Hungary,HUN,2010,186
Hungary,HUN,2011,185
Hungary,HUN,2012,215
Hungary,HUN,2013,219
Hungary,HUN,2014,219
Hungary,HUN,2015,240
Hungary,HUN,2016,187
Hungary,HUN,2017,155
Hungary,HUN,2018,80
Hungary,HUN,2019,25
Hungary,HUN,2020,5
Iceland,ISL,2000,3
Iceland,ISL,2001,13
Iceland,ISL,2002,11
Iceland,ISL,2003,22
Iceland,ISL,2004,8
Iceland,ISL,2005,11
Iceland,ISL,2006,11
Iceland,ISL,2008,1
Iceland,ISL,2011,4
Iceland,ISL,2014,1
Iceland,ISL,2016,2
Iceland,ISL,2018,1
Iceland,ISL,2019,4
India,IND,2000,4
India,IND,2001,4
India,IND,2002,2
India,IND,2003,4
India,IND,2004,9
India,IND,2005,7
India,IND,2006,4
India,IND,2007,3
India,IND,2008,3
India,IND,2009,8
India,IND,2010,3
India,IND,2011,11
India,IND,2012,514
India,IND,2013,185
India,IND,2014,1259
India,IND,2015,431
India,IND,2017,1
Indonesia,IDN,2000,40
Indonesia,IDN,2001,4
Ireland,IRL,2000,8
Ireland,IRL,2001,6
Ireland,IRL,2002,1
Ireland,IRL,2004,1
Ireland,IRL,2005,10
Ireland,IRL,2006,7
Ireland,IRL,2007,13
Ireland,IRL,2008,58
Ireland,IRL,2009,29
Ireland,IRL,2010,23
Ireland,IRL,2011,11
Ireland,IRL,2012,14
Ireland,IRL,2013,10
Ireland,IRL,2014,7
Ireland,IRL,2015,13
Ireland,IRL,2016,6
Ireland,IRL,2017,3
Ireland,IRL,2018,2
Ireland,IRL,2019,2
Ireland,IRL,2020,6
Israel,ISR,2000,121
Israel,ISR,2001,112
Israel,ISR,2002,111
Israel,ISR,2003,78
Israel,ISR,2004,61
Israel,ISR,2005,67
Israel,ISR,2006,169
Israel,ISR,2007,170
Israel,ISR,2008,318
Israel,ISR,2009,314
Israel,ISR,2010,404
Israel,ISR,2011,523
Israel,ISR,2012,488
Israel,ISR,2013,337
Israel,ISR,2014,356
Israel,ISR,2015,364
Israel,ISR,2016,355
Israel,ISR,2017,289
Israel,ISR,2018,266
Israel,ISR,2019,216
Israel,ISR,2020,220
Israel,ISR,2021,85
Italy,ITA,2000,88
Italy,ITA,2001,112
Italy,ITA,2002,94
Italy,ITA,2003,115
Italy,ITA,2004,101
Italy,ITA,2005,110
Italy,ITA,2006,205
Italy,ITA,2007,262
Italy,ITA,2008,368
Italy,ITA,2009,636
Italy,ITA,2010,634
Italy,ITA,2011,720
Italy,ITA,2012,567
Italy,ITA,2013,481
Italy,ITA,2014,10
Italy,ITA,2015,237
Italy,ITA,2016,337
Italy,ITA,2017,322
Italy,ITA,2018,396
Italy,ITA,2019,195
Japan,JPN,2000,12937
Japan,JPN,2001,13497
Japan,JPN,2002,13913
Japan,JPN,2003,14592
Japan,JPN,2004,15527
Japan,JPN,2005,15646
Japan,JPN,2006,16918
Japan,JPN,2007,17426
Japan,JPN,2008,18525
Japan,JPN,2009,20680
Japan,JPN,2010,24121
Japan,JPN,2011,28166
Japan,JPN,2012,29261
Japan,JPN,2013,25210
Japan,JPN,2014,23656
Japan,JPN,2015,21348
Japan,JPN,2016,21693
Japan,JPN,2017,20971
Japan,JPN,2018,22043
Japan,JPN,2019,15896
Japan,JPN,2020,2464
Japan,JPN,2021,300
Jordan,JOR,2000,2
Jordan,JOR,2004,2
Jordan,JOR,2006,3
Jordan,JOR,2007,8
Jordan,JOR,2008,12
Jordan,JOR,2009,6
Jordan,JOR,2010,3
Jordan,JOR,2011,4
Jordan,JOR,2012,1
Jordan,JOR,2013,3
Jordan,JOR,2014,1
Jordan,JOR,2015,8
Jordan,JOR,2016,2
Jordan,JOR,2017,4
Jordan,JOR,2018,2
Jordan,JOR,2019,9
Jordan,JOR,2020,14
Jordan,JOR,2021,5
